Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction
Senior Software Engineer,Mumbai,Full Time,Business Intelligence & Analytics Department,1 Aug 2023,3.0,4.0,4.0,2.0,4.0,4.0,2.0
Analyst,Mumbai,Full Time,Quality Assurance and Testing Department,1 Jul 2023,3.0,2.0,3.0,3.0,1.0,2.0,2.0
Senior Software Engineer,Pune,Full Time,Finance Department,9 Aug 2023,3.0,3.0,2.0,2.0,3.0,3.0,1.0
Senior Software Engineer,"Chennai, Tamil Nadu",Full Time,Banking Operations Department,1 Aug 2023,4.0,4.0,4.0,3.0,3.0,3.0,3.0
Team Manager,Bengaluru/Bangalore,Full Time,Voice / Blended Department,1 Jul 2023,4.0,2.0,2.0,3.0,4.0,3.0,3.0
"Agile Project Manager - SAFe Agilist,Certified(PO,Scrum Master,Agile Coach),DevOps,Prince2,Azure",Bangalore/Bengaluru,Full Time,Other Department,1 Jul 2023,1.0,1.0,3.0,1.0,1.0,1.0,1.0
Senior Consultant,Bengaluru/Bangalore,Full Time,Banking Operations Department,0 Jul 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Senior Consultant,"Chennai, Tamil Nadu",Full Time,Software Development Department,0 Jul 2023,4.0,3.0,4.0,3.0,4.0,3.0,2.0
Human Resource Associate,Kolkata,Full Time,HR Operations Department,9 Jul 2023,5.0,2.0,5.0,3.0,5.0,5.0,1.0
Associate Consultant,Bangalore/Bengaluru,Full Time,Software Development Department,9 Jul 2023,4.0,5.0,4.0,5.0,4.0,2.0,2.0
Senior Consultant,Pune,Full Time,Engineering Department,9 Jul 2023,4.0,4.0,4.0,2.0,3.0,4.0,2.0
Deployment Engineer,Gurgaon/Gurugram,Full Time,Telecom Department,9 Jul 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Analyst,"Pune, Maharashtra",Full Time,IT Network Department,8 Jul 2023,2.0,2.0,3.0,2.0,2.0,2.0,2.0
Software Engineer,Pune,Full Time,Software Development Department,8 Jul 2023,4.0,4.0,2.0,3.0,3.0,4.0,3.0
Service Desk Lead   (working remotely),,Full Time,Operations Department,7 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Senior Consultant,Bangalore/Bengaluru,Full Time,"Investment Banking, Private Equity & VC Department",7 Jul 2023,5.0,5.0,5.0,4.0,5.0,5.0,3.0
Software Engineer Lead,Kolkata,Full Time,Software Development Department,7 Jul 2023,3.0,2.0,3.0,4.0,1.0,2.0,2.0
Network Specialist,"Gurgaon/Gurugram, Haryana",Full Time,Engineering Department,6 Jul 2023,1.0,2.0,2.0,1.0,1.0,1.0,1.0
Senior Analyst Ii,"Kolkata, West Bengal",Full Time,IT Security Department,6 Jul 2023,5.0,4.0,5.0,2.0,5.0,5.0,4.0
Senior Analyst,Kolkata,Full Time,IT Security Department,6 Jul 2023,5.0,5.0,5.0,3.0,4.0,5.0,3.0
Consultant,"Bengaluru/Bangalore, Karnataka",Full Time,Business Intelligence & Analytics Department,5 Jul 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0
It Service Desk Analyst,Kolkata,Full Time,Service Delivery Department,5 Jul 2023,4.0,4.0,5.0,2.0,5.0,2.0,2.0
Java Developer,"Gurgaon/Gurugram, Haryana",Full Time,Software Development Department,4 Jul 2023,3.0,3.0,3.0,2.0,4.0,2.0,2.0
Senior Software Engineer,"Noida, Uttar Pradesh",Full Time,Non Voice Department,9 Aug 2023,4.0,3.0,3.0,3.0,2.0,1.0,2.0
Senior Consultant,"Pune, Maharashtra",Full Time,Unix support Department,3 Jul 2023,1.0,1.0,1.0,3.0,3.0,1.0,1.0
Senior Analyst,"Navi Mumbai, Maharashtra",Full Time,Software Development Department,2 Jul 2023,3.0,3.0,4.0,1.0,5.0,4.0,3.0
Talent Acquisition Specialist,Bengaluru/Bangalore,Contractual,Recruitment & Talent Acquisition Department,2 Jul 2023,2.0,2.0,2.0,2.0,1.0,1.0,2.0
Senior Analyst,Mumbai,Full Time,"Operations, Maintenance & Support Department",1 Jul 2023,4.0,3.0,3.0,3.0,5.0,4.0,4.0
Senior Software Engineer,Hyderabad/Secunderabad,Full Time,Banking Operations Department,0 Jul 2023,4.0,4.0,4.0,3.0,4.0,4.0,3.0
Process Associate,Kolkata,Full Time,HR Operations Department,0 Jul 2023,1.0,3.0,1.0,1.0,4.0,1.0,1.0
Avaya Voip Engineer,Hyderabad/Secunderabad,Full Time,Operations Support Department,9 Jul 2023,4.0,5.0,5.0,3.0,5.0,4.0,3.0
Manager,Bengaluru/Bangalore,Full Time,IT Infrastructure Services Department,9 Jul 2023,1.0,1.0,5.0,2.0,1.0,1.0,1.0
Consultant,"Navi Mumbai, Maharashtra",Full Time,IT Network Department,9 Jul 2023,3.0,4.0,3.0,2.0,4.0,4.0,2.0
Azure Administrator,"Kolkata, West Bengal",Full Time,IT Security Department,8 Jul 2023,4.0,3.0,4.0,3.0,3.0,4.0,2.0
Software Developer Lead,Pune,Full Time,Software Development Department,8 Jul 2023,4.0,4.0,3.0,3.0,3.0,4.0,3.0
Software Engineer,"Gurgaon/Gurugram, Haryana",Full Time,Software Development Department,7 Jul 2023,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Senior Software Engineer,Hyderabad/Secunderabad,Full Time,Software Development Department,7 Jul 2023,4.0,4.0,5.0,3.0,4.0,4.0,3.0
Associate Consultant,Hyderabad/Secunderabad,Full Time,BD / Pre Sales Department,7 Jul 2023,3.0,4.0,4.0,2.0,4.0,4.0,1.0
Manager,Hartford,Full Time,Quality Assurance and Testing Department,7 Jul 2023,2.0,2.0,1.0,4.0,1.0,1.0,1.0
Team Lead Copy Editor Instructional Designer,Mumbai,Full Time,Corporate Training Department,6 Jul 2023,4.0,4.0,5.0,4.0,3.0,5.0,2.0
S4 Hana Finance Consultant(Actively Looking For New Opportunities),"Hyderabad/Secunderabad, Telangana",Full Time,IT Consulting Department,5 Jul 2023,2.0,4.0,2.0,4.0,3.0,1.0,3.0
Senior Quality Assurance Engineer,"Gurgaon/Gurugram, Haryana",Full Time,IT Consulting Department,5 Jul 2023,1.0,1.0,1.0,2.0,1.0,1.0,2.0
Citrix Administrator,Bangalore/Bengaluru,Full Time,IT Infrastructure Services Department,0 Jul 2023,4.0,4.0,4.0,4.0,3.0,3.0,3.0
Senior Analyst,Mumbai,Full Time,Operations Support Department,4 Jul 2023,4.0,4.0,4.0,3.0,4.0,4.0,3.0
